"Structure"	"New_Structure"
"RUNX1-RUNX1T1_[I.001]"	"chr21:36259140-36259444 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.002]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnponl"
"RUNX1-RUNX1T1_[I.003]"	"chr21:36259339-36259436 chr21:36259140-36259296 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gfdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.004]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.005]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvubrqcnponl"
"RUNX1-RUNX1T1_[I.006]"	"chr21:36259406-36259436 chr21:36259140-36259183 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.007]"	"chr21:36259394-36259436 chr8:93026807-93026841 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"htbrqcnonl"
"RUNX1-RUNX1T1_[I.008]"	"chr21:36259401-36259436 chr8:93026807-93026824 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"htbrqcnonl"
"RUNX1-RUNX1T1_[I.009]"	"chr21:36421139-36421200 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jcvubrqcnonl"
"RUNX1-RUNX1T1_[I.010]"	"chr21:36421139-36421200 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jvubrqcnonl"
"RUNX1-RUNX1T1_[I.011]"	"chr21:36421139-36421200 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jvubrqcnponl"
"RUNX1-RUNX1T1_[I.012]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicvubrqcnonl"
